account,toaccount,syscode,amount,canteen,degree
A20843,1000001,30,250,1,云親
C46573,1000011,30,300,1,云親
D47516,1000011,30,150,1,云親
B65038,1000001,30,250,1,云親
D52617,1000011,30,300,1,云親
B32309,1000010,30,150,1,云親
B67531,1000001,30,120,1,云親
A73252,1000001,30,100,1,云親
A19359,1000001,30,60,1,云親
B52546,1000003,30,100,1,云親
A49804,1000011,30,150,1,云親
B62647,1000001,30,250,1,云親
A58137,1000001,30,200,1,云親
A41369,1000031,34,200,2,云親
A73501,1000038,34,400,2,云親
C76077,1000029,34,150,2,云親
D71394,1000027,34,250,2,云親
C72566,1000031,34,520,2,云親
A76526,1000030,34,250,2,云親
E48234,1000029,34,600,2,云親
B77629,1000030,34,150,2,云親
D67453,1000031,34,240,2,云親
D50859,1000029,34,150,2,云親
A61595,1000031,34,400,2,云親
B66905,1000030,34,210,2,云親
B40268,1000031,34,200,2,云親
C70517,1000030,34,180,2,云親
B65833,1000038,34,844,3,云親
E42802,1000039,34,1300,3,云親
D65525,1000029,34,500,3,云親
D78199,1000041,34,1500,3,云親
A74612,1000031,34,1570,3,云親
E69358,1000038,34,666,3,云親
B54223,1000037,34,270,3,云親
A73767,1000041,34,1516,3,云親
B69338,1000041,34,1200,4,云親
D18056,1000030,34,200,4,云親
C26379,1000037,34,350,4,云親
D64984,1000040,34,1200,4,云親
B75032,1000030,34,800,4,云親
B68892,1000041,34,1200,4,云親
C42073,1000031,34,650,4,云親
C51762,1000037,34,400,4,云親
A76429,1000030,34,500,4,云親
B50633,1000037,34,400,4,云親
B63153,1000029,34,650,4,云親
C75145,1000001,30,622,5,云親
E79445,1000010,30,800,5,云親
C51762,1000001,30,210,5,云親
D77007,1000010,30,400,5,云親
E71428,1000001,30,30,5,云親
A67237,1000011,30,450,5,云親
C78804,1000011,30,450,5,云親
C51762,1000001,30,100,5,云親
C63542,1000003,30,400,5,云親
E40643,1000011,30,250,5,云親
C63769,1000001,30,100,5,云親
D76778,1000011,30,300,5,云親
B61099,1000001,30,400,5,云親
A62574,1000011,30,450,5,云親
E48520,1000003,30,650,6,云親
E75613,1000011,30,400,6,云親
B35702,1000001,30,150,6,云親
B76933,1000011,30,300,6,云親
D53367,1000007,30,150,6,云親
A34205,1000001,30,150,6,云親
B76933,1000011,30,300,6,云親
A76861,1000010,30,250,6,云親
A73979,1000001,30,40,6,云親
E79766,1000001,30,100,6,云親
E41173,1000003,30,500,6,云親
A76861,1000010,30,250,6,云親
E51622,1000010,30,450,6,云親
E74327,1000003,30,500,6,云親
E69068,1000001,30,200,6,云親
D65266,1000011,30,350,6,云親
C70813,1000001,30,100,6,云親
E78223,1000001,30,150,6,云親
D71901,1000001,30,270,6,云親
E79290,1000001,30,350,6,云親
E65472,1000011,30,350,5,云親
C54550,1000001,30,410,5,云親
B50576,1000001,30,100,5,云親
A75902,1000011,30,450,5,云親
D49190,1000001,30,400,5,云親
A68245,1000011,30,300,5,云親
D79595,1000001,30,170,5,云親
A68245,1000011,30,150,5,云親
E62480,1000001,30,350,3,云親
D74362,1000011,30,500,3,云親
B76072,1000011,30,600,3,云親
C42005,1000011,30,200,3,云親
B71513,1000001,30,70,3,云親
A68848,1000011,30,400,3,云親
D73452,1000011,30,600,2,云親
B73289,1000011,30,400,2,云親
E76493,1000001,30,310,2,云親
B67011,1000001,30,60,2,云親
A51305,1000011,30,400,2,云親
E76493,1000001,30,30,2,云親
